# Constructed from biom file
#OTU ID,S10.158.H2O.S10,S21.161.H2O.S21,S28.164.H2O.S28,S30.167.H2O.S30,S32.170.H2O.S32,S9.173.H2O.S9,S13.176.H2O.S13,S17.179.H2O.S17,S20.182.H2O.S20,S27.185.H2O.S27
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae,181.0,12.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured,18.0,59.0,2.0,0.0,21.0,0.0,21.0,10.0,16.0,6.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,37.0,154.0,130.0,484.0,475.0,221.0,365.0,8.0,460.0,370.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae,194.0,96.0,45.0,0.0,41.0,0.0,8.0,1.0,0.0,19.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,20.0,45.0,8.0,14.0,0.0,0.0,0.0,150.0,19.0,105.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae,0.0,0.0,0.0,0.0,0.0,49.0,25.0,0.0,0.0,2.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15,0.0,10.0,0.0,0.0,12.0,18.0,11.0,17.0,0.0,5.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__uncultured;f__uncultured,0.0,0.0,0.0,14.0,0.0,0.0,0.0,54.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,35.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae,0.0,0.0,0.0,11.0,0.0,0.0,42.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae,0.0,39.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae,1349.0,178.0,121.0,189.0,263.0,120.0,211.0,46.0,197.0,216.0
