0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,pond
4.2286057,-0.5252922,-0.97486913,-1.2680191,-0.8698731,2.4929976,-0.64937335,1.8443223,1.5314841,3.6969972,-0.4094532,-0.51767266,1.8731029,1.251699,-0.5059025,0.28805256,1.7481792,-0.17730215,-0.31410545,1
1.9868522,-2.5948546,-1.1016859,1.9653603,-2.2768414,-2.074474,1.2345921,0.70426685,0.36292776,2.3611145,-1.5492998,-1.2511916,0.38216934,0.74113953,1.5894333,3.1924062,1.5399358,-0.76293457,-1.6472147,0
3.7253506,-0.7345261,3.509532,-0.28365535,-3.0216408,-1.510608,0.822949,3.0039082,0.47944894,3.3288743,-0.21407464,-1.187943,2.8344872,-0.7342926,-1.0310959,-0.5191772,0.6464361,-4.163112,-3.3705995,0
2.2489085,-1.1289848,0.73837537,-0.8198852,-3.5275528,0.83254236,-0.84335166,0.89293385,0.23908335,5.9350877,-0.4401476,-1.9474338,1.0229187,1.200513,-0.015231721,-3.2827065,2.8199139,-2.0346975,-0.15274127,0
3.727071,0.5249759,-1.3480042,-0.22020373,1.8725321,-0.67365277,2.1262293,3.6091661,-1.114454,2.6586394,-0.8827503,0.4018011,1.5403762,0.49087608,-2.6797497,1.9889692,2.7493558,0.48480836,-1.5602592,1
3.104031,-2.602668,3.4538875,1.0803405,-1.8381015,-1.4364733,-0.48539123,2.9859164,1.1187489,4.3991823,-0.112428665,0.061070833,3.2107959,0.6837771,-0.73598486,-1.2408391,0.296968,-1.8777939,-1.3988919,2
5.5259643,0.75760114,-2.5473366,4.7071166,0.050534975,-1.0102621,4.6468205,1.3751012,-1.9464562,-2.0542433,-2.5043085,-1.5379684,3.1428213,1.062408,-1.2628896,2.3447762,0.6942288,-0.9260421,3.0211318,2
2.9152591,-0.29933158,0.7686717,-1.2971025,-2.8781464,-0.34433484,-0.22535117,0.30414593,1.5985171,4.419499,2.1402636,-2.0747592,2.9120812,2.0415876,0.6416351,0.06774403,-0.2956651,-0.35418057,-0.78481275,4
-1.4291489,-6.508952,7.4918585,-0.19343303,-0.3048913,0.08612302,4.674369,-0.6729413,3.4039772,9.682456,-0.6338775,1.6971947,-1.4349711,0.055829734,-0.49621522,2.069479,2.6296525,-0.5357458,5.5615635,2
-0.97902805,1.0249555,3.6278942,1.8578315,-3.9464839,0.8688857,-0.081525385,3.6301517,0.016463928,5.1003413,1.542867,-2.134534,1.2507689,1.8343846,1.4578396,3.166705,-0.47143883,3.4272604,2.791908,4
2.1630423,-1.3616896,1.0732484,-1.6985581,-1.3116258,0.31348893,-0.38130563,3.4970114,-3.0669544,3.5481179,-1.1946872,0.47356513,3.496135,-0.8312335,-2.8790803,-0.26479828,0.5543986,-1.28217,-0.54624915,0
1.3833079,-3.1769338,-0.2452375,-0.10219579,-1.4501371,-0.83556956,1.254208,0.9717745,-0.5377703,2.8888164,-2.3306773,-0.5499776,1.1731349,-0.04996992,2.2380753,3.6012251,2.9214768,0.2249527,-1.9720749,0
4.0879426,-2.439492,-0.5401564,-0.8506333,-2.995964,0.023853615,1.5312794,-0.0074880226,-0.24035977,2.6023886,-0.9390239,0.42062724,1.9987082,-0.9284661,1.6463869,1.4088069,2.1445746,-0.20926632,-1.0325761,4
2.9181798,-0.33518115,0.17620297,-1.1882718,-1.8656504,-0.9482267,0.061671223,0.97092074,1.5024836,2.5633361,-0.17646733,-1.917495,3.369536,0.944672,-0.3231309,0.6940732,1.6046202,-0.70220596,-2.5945551,3
0.6176517,-3.5426776,3.1447048,-2.7264183,-4.196231,-1.5552942,1.634101,0.47290307,1.5644847,7.1843176,0.54880583,1.1645168,0.09294679,1.8241247,0.7999126,1.1044238,-0.33639455,-1.7545505,1.1987145,2
3.8004837,0.36522326,-1.1166251,1.1184015,-1.3142664,-3.1056724,-0.18869328,0.8956771,2.253756,2.100358,0.1441693,-1.86803,0.7670711,1.3408161,0.23926327,1.2382362,2.779476,-2.5524788,-0.8525979,3
