,feature_name,feature_number,test_loss,test_acc
0,K00001,0,0.34121111035346985,0.8421052694320679
1,K00001,1,0.34105753898620605,0.8421052694320679
2,K00001,2,0.34113308787345886,0.8421052694320679
3,K00001,3,0.341167688369751,0.8421052694320679
4,K00001,4,0.3411032557487488,0.8421052694320679
5,K00001,5,0.34118786454200745,0.8421052694320679
6,K00001,6,0.34118199348449707,0.8421052694320679
7,K00001,7,0.3412933945655823,0.8421052694320679
8,K00001,8,0.34109535813331604,0.8421052694320679
9,K00001,9,0.341250479221344,0.8421052694320679
10,K00003,0,0.34125566482543945,0.8421052694320679
11,K00003,1,0.3411863148212433,0.8421052694320679
12,K00003,2,0.3411825895309448,0.8421052694320679
13,K00003,3,0.34164857864379883,0.8421052694320679
14,K00003,4,0.34168967604637146,0.8421052694320679
15,K00003,5,0.34157949686050415,0.8421052694320679
16,K00003,6,0.34173083305358887,0.8421052694320679
17,K00003,7,0.3416264057159424,0.8421052694320679
18,K00003,8,0.34161075949668884,0.8421052694320679
19,K00003,9,0.3412204682826996,0.8421052694320679
20,K00004,0,0.3411099910736084,0.8421052694320679
21,K00004,1,0.341105580329895,0.8421052694320679
22,K00004,2,0.34100037813186646,0.8421052694320679
23,K00004,3,0.3411901593208313,0.8421052694320679
24,K00004,4,0.3407261371612549,0.8421052694320679
25,K00004,5,0.34099966287612915,0.8421052694320679
26,K00004,6,0.34105637669563293,0.8421052694320679
27,K00004,7,0.3411217927932739,0.8421052694320679
28,K00004,8,0.3411252498626709,0.8421052694320679
29,K00004,9,0.34079405665397644,0.8421052694320679
30,K00005,0,0.3415798544883728,0.8421052694320679
31,K00005,1,0.3419346213340759,0.8421052694320679
32,K00005,2,0.34172654151916504,0.8421052694320679
33,K00005,3,0.3411063253879547,0.8421052694320679
34,K00005,4,0.3413850665092468,0.8421052694320679
35,K00005,5,0.3413426876068115,0.8421052694320679
36,K00005,6,0.34137335419654846,0.8421052694320679
37,K00005,7,0.34130772948265076,0.8421052694320679
38,K00005,8,0.34167608618736267,0.8421052694320679
39,K00005,9,0.34164610505104065,0.8421052694320679
40,K00009,0,0.3411743640899658,0.8421052694320679
41,K00009,1,0.34134596586227417,0.8421052694320679
42,K00009,2,0.3417838215827942,0.8421052694320679
43,K00009,3,0.34132862091064453,0.8421052694320679
44,K00009,4,0.34174880385398865,0.8421052694320679
45,K00009,5,0.3414660394191742,0.8421052694320679
46,K00009,6,0.34178847074508667,0.8421052694320679
47,K00009,7,0.341348260641098,0.8421052694320679
48,K00009,8,0.3410343825817108,0.8421052694320679
49,K00009,9,0.34148338437080383,0.8421052694320679
50,K00010,0,0.34058061242103577,0.8421052694320679
51,K00010,1,0.3406660556793213,0.8421052694320679
52,K00010,2,0.3411353826522827,0.8421052694320679
53,K00010,3,0.34060367941856384,0.8421052694320679
54,K00010,4,0.3405970633029938,0.8421052694320679
55,K00010,5,0.3408640921115875,0.8421052694320679
56,K00010,6,0.3409097194671631,0.8421052694320679
57,K00010,7,0.3402895927429199,0.8421052694320679
58,K00010,8,0.34066641330718994,0.8421052694320679
59,K00010,9,0.3404945731163025,0.8421052694320679
60,K00012,0,0.34186694025993347,0.8421052694320679
61,K00012,1,0.3412664532661438,0.8421052694320679
62,K00012,2,0.3418129086494446,0.8421052694320679
63,K00012,3,0.34275195002555847,0.8421052694320679
64,K00012,4,0.34182143211364746,0.8421052694320679
65,K00012,5,0.3416549861431122,0.8421052694320679
66,K00012,6,0.34173905849456787,0.8421052694320679
